,statement,type
811,jason you will end up missing your connection please see our dfw agent for assistance nope ha not taken off yet still,NEGATIVE
812,now on hold for hour waiting to speak to someone about my cancelled flightled flight from philly to orl,NEGATIVE
813,no profit maximization is your top priority nothing else even register for you dinosaur,NEGATIVE
814,thanks she submitted a damaged bag complaint onlineis there anything else we can do goodcustomerservice,NEGATIVE
815,but eagle is always late flight,NEGATIVE
816,hypocrisy rt i am sorry we are not able to offer a full refund because the exchange rate is not what you were hoping for kp,NEGATIVE
817,terrible illogical re route after cancelled flightled connection then made me pay to check bag then lost bag ual,NEGATIVE
818,you changed my aadvantage travel plan amp i called to get help but it sea ur too busy amp hang up on me what give,NEGATIVE
819,everyone is flight who were cancelled flightled today deserve,NEGATIVE
820,your airway is a joke i have never dealt with worse service,NEGATIVE
821,this is really unhelpful why can not i rebook online http tco nosvli,NEGATIVE
822,flight is full,NEGATIVE
823,rock hit the plane in a delay now never an easy day with you airway ya never fail to let me down,NEGATIVE
824,gate were definitely not full we were parked and wheel were chocked customer service called it an unmet arrival,NEGATIVE
825,can you provide direct assistance my colleague and i can not re book b c the ticket wa booked via a corporate account help,NEGATIVE
826,never flying with you guy ever again the customer service is piss poor at best,NEGATIVE
827,is there anyone answering phone today listening to same damn message for minute,NEGATIVE
828,you are beyond redemption jfk baggage claim look like a luggage warehouse,NEGATIVE
829,how can you not know after two hour of you sitting on the plane with no bag off loaded the plane weight,NEGATIVE
830,deplaned for the rd fucking time fuck you aa,NEGATIVE
831,i am willing to hold for an agent you are not being helpful you keep hanging up on me americanairsucks hiremorepoeple,NEGATIVE
832,delayed another hour,NEGATIVE
833,admiral club at clt ha rude and ignorant front desk staff you have fallen so farthanks doug parker,NEGATIVE
834,hi janet in customer service i am calling you back and have been sitting in que for min plz pick it up frustrated,NEGATIVE
835,my flight ha been delayed amp i can not talk reach anyone in customer service because of high call volume,NEGATIVE
836,if you miss first leg of ur flight you have to pay hundred of s just to keep your second leg how much to keep my earned mile,NEGATIVE
837,on a standby to denver which ha been delayed and a confirmed to aspen whose flight have been cancelled flighted all day confidence,NEGATIVE
838,any option to co tonight doe not look like ua will make it in time for ua should i reserve a hotel room,NEGATIVE
839,i am aware of the flight detail thanks three hour late flight a crew that could not give le of a shit,NEGATIVE
840,ua just admit you have no clue when flight will leave denver unfriendlyskies,NEGATIVE
841,you lost a customer today flight today wa cancelled flightled and i had to find out by calling customer service yesterday,NEGATIVE
842,still waiting for a flight i should get my money back,NEGATIVE
843,flight cancelled flightledtried to get refund but on hold can i get it after my flight would have departed,NEGATIVE
844,still have not received a response please direct message me for my contact information,NEGATIVE
845,me too in the future have a better harsh weather preparedness plan so much of your staff called out that everything snowballed,NEGATIVE
846,when an airline because the missed connection you would think they would take whatever step to remedy that screw up,NEGATIVE
847,poor old unite never seem to get the response right,NEGATIVE
848,nvm my bad it is been an hour and a half thanks,NEGATIVE
849,i know you are dealing with the weather but is a hot mess pls send reinforcement,NEGATIVE
850,thx for responding i can not watch min of this film w out it cutting in and out prolonged prds of time beyond frustrating,NEGATIVE
851,you sure missed the mark on tonight redeye from lax to chicago what a mess you can do better,NEGATIVE
852,nd time in a row a flight out of jfk a disaster last time i wa not allowed to fly stndby now a hour delay w out notification,NEGATIVE
853,have been on hold for minute need help usair why will not you help,NEGATIVE
854,is flight dfw to gsp going to be cancelled flightled tomorrow,NEGATIVE
855,so mad i can not even believe you guy cancelled flight my connecting flight after i leave the first stop amp give me a useless hotel voucher,NEGATIVE
856,ridiculous how you want to charge me to change flight even with multiple seat available on the flight i needed,NEGATIVE
857,another delay wow,NEGATIVE
858,trying to check in for flight on line not working amp agent too busy to take my call,NEGATIVE
859,what is going on with lga fllpoor to no communication from gate agent,NEGATIVE
860,lie liesstill sitting at the gate have not moved an inch http tco lulgnweffh,NEGATIVE
861,total lack of cust service for a mom flying solo w baby will not be flying w am air again,NEGATIVE
862,why do not you ever print my known traveler number on my ticket because of this i never get to use the tsa prescreen i paid for,NEGATIVE
863,delay and mechanical issue on both my weekend flight ridiculous will tweet a long a we are delayed,NEGATIVE
864,in the future when delay because hour wait slept night in airport ensuring seating choice for replacement flight would be good,NEGATIVE
865,so break whatever you want take no responsibilitytoo bad for customer medium filmcrew nytimes,NEGATIVE
866,i called more than time to redeem mile point and can not get through you advertise the mile but make them very hard to use,NEGATIVE
867,you just directed me to your mobile website where is the direct link get it together,NEGATIVE
868,could not have possibly messed up our trip anymore than they did thanks for being such a terrible airline disappointed,NEGATIVE
869,your app say flight ua to zrh departed hr late flight but hour late flightr we are still seating inside the plane in iad failed,NEGATIVE
870,if you mean beyond opaque maintenance issue yes that would be basic in customer service which your ewr staff can not manage,NEGATIVE
871,screwed me up big st flight hr late flight made it to nd flight csm daryl would not let me on the plane because we were,NEGATIVE
872,my option is to use twitter most of the people working for you have no clue what they do they tell you to go to a but it b,NEGATIVE
873,sent a couple message to the email you provided but to no avail will try again next year cheer,NEGATIVE
874,we are home you guy recovered now we can laugh about it and the extra day in barbados will you open cuba soon,NEGATIVE
875,your delay is due to your own making we have now been back to the gate multiple time maybe take accountability,NEGATIVE
876,rt our fleet on fleek http tco ncguzdgdaq,NEGATIVE
877,it is not about weather it is logistics why should i hold for minute when you called me why not get more desk agent,NEGATIVE
878,you denied a mom her am flight because she needed her breast pumping part on a full flight please fix this a soon a possible freeflight,NEGATIVE
879,your service in philly is unacceptable look into better service a yr old should not have a hard time http tco wdaktmrmj,NEGATIVE
880,i knew the hour sounded odd missed a flight we hit jfk an hour early for and your gate attendant told you,NEGATIVE
881,i never got an email confirmation for my ticket but the credit card wa charged phone wait time is crazy is there a chat,NEGATIVE
882,gotcha but lessening the delay that part not happening right,NEGATIVE
883,none of your sample itinerary can actually be booked http tco mfrabgna every last leg back to you say invalid,NEGATIVE
884,i am familiar with the procedure it would not be the first time unitedairlines lost one of my bag unhappytraveler,NEGATIVE
885,hour delay pho mia your airline is bad and getting worse foolish for american to merge you treat your customer like crap,NEGATIVE
886,we had a friend there telling the gate attendant and the stewardess what wa going on notourfaultyoudontuseyourgatesright,NEGATIVE
887,h student from ithaca ny stuck in miami flts xld you will not rebook to get kid home use carrier alliance rulesshouldbend,NEGATIVE
888,is it even legal for you guy to advertise flight that you can not honor,NEGATIVE
889,stop ur b promos of anywhere starting at i click and everywhere i would fly the only place that is is cle nothanks,NEGATIVE
890,how have you not loaded our luggage on the plane and were over an hour delayed flight,NEGATIVE
891,please respond to me i have been on hold on the reservation line for an hour and minute i would really appreciate it,NEGATIVE
892,wow flight cancelled flightled slept on the floor at the airport and now flight delayed,NEGATIVE
893,what is your phone number i can not find who to call about a flight reservation,NEGATIVE
894,strike again why board anyone if there is something wrong with the plane common sense,NEGATIVE
895,also do you have any way to speak to someone on the phone your ha been hanging up on me all day,NEGATIVE
896,did i mention that i wa on the plane so is my luggage my luggage that i am not going to have for how many day,NEGATIVE
897,on flight to orlandoridiculous that we had to wait for this high school band to board notbabysitters whrsthecoach,NEGATIVE
898,need help with a flight weather funeral tough combination on hold for over an hour please,NEGATIVE
899,are you an incompetent airline every day or just day that end in y,NEGATIVE
900,my mistake multibillion dollar company,NEGATIVE
901,that is not very gracious of to tell me where i can go buy water or a snack when our flight is delayed over hour,NEGATIVE
902,to recap you bounced me off my flight lied to me then hung up on me what am i supposed to think do now,NEGATIVE
903,my wife and i will be sharing this dreadful experience do not pretend ua care about young girl traveling alone united airline,NEGATIVE
904,membership ha no privilege anymore my son is in the army short window to see him no help,NEGATIVE
905,it ridic you can not transfer credit you have my amp you are taking of it for cancelled flightling atleast let me keep the credit damn,NEGATIVE
906,just picked up my bag at seatac all the clothes are soaking wet bagawim http tco ngxaloml,NEGATIVE
907,airline st amp only time i ever fly your airline what a disgrace i should have listened to your tweet horrible,NEGATIVE
908,how do you do that you guy need to have much better communication how how can we do that,NEGATIVE
909,that is where we all get on the same page cancelled flighted it min ago help flight from to mco,NEGATIVE
910,lol thanks to you we had to switch to american http tco slbdrxfn,NEGATIVE
911,grouchy about this flight complimentarybeveragesneeded,NEGATIVE
912,could have voided the ticket since it wa gt hr since flight booking problem are you going to waive the fee still can not get through,NEGATIVE
913,do not need this link after getting a person you now say you do not know where bag are lost on a nonstop phx to jfk,NEGATIVE
914,i am trying to merge my freq flyer accts but keep getting an error message and only a machine when calling the provided help,NEGATIVE
915,i suppose your customer enjoy screaming toddler then not my problem if someone complains,NEGATIVE
916,you idiot kept an on time plane on the tarmac for over an hour forcing you to not be there minute before,NEGATIVE
917,wa not just a delay your counter would not take a valid cac card a a valid id which is needed for a tsa precheck on pas,NEGATIVE
918,jfk nyc staff is amazing the lax jetblue sending an email with detail but it wa a disappointing experience,NEGATIVE
919,there is over people in line and only one agent,NEGATIVE
920,tough i can take zero meaningful assistance while stranded for day is another matter looking for sign you care abt cust,NEGATIVE
921,i am confused after your agent directed you to go to your website after delay nothing work http tco cyprhegok,NEGATIVE
922,what happened we did not get a notification about a departure cancelled flightation tomorrow why will it take hr to talk to someone,NEGATIVE
923,i will be sending posting complete detail of the circumstance surrounding this matter united airline should be ashamed,NEGATIVE
924,stay more than h traveling an sleeping on the airport floor,NEGATIVE
925,more lie they said in their email we were delayed due to weather when the sky wa clear in the city we were departing,NEGATIVE
926,please tell clt flight need a gate waiting now for min,NEGATIVE
927,yes but i like need my luggage before tomorrow morning,NEGATIVE
928,my son left his ipad on flight from jfk to fll on monday i called and left message and have no heard back seat a,NEGATIVE
929,ice which i totally understand but when a large number of you are facing hour of time and overnight cancelled flightations it seems like,NEGATIVE
930,flight cancelled flightled can not go home until tomorrow i could use dinner and a play it is my first time in nyc,NEGATIVE
931,there is an hour wait here for reflight booking problem in line at omaha,NEGATIVE
932,my flight from vcp to jfk wa delayed and now it ha been cancelled flighted what should i do,NEGATIVE
933,http tco hjkqchn however is completely under your controlthe price wa and still is displayed on http tco hjkqchn,NEGATIVE
934,can i have my bag back ding,NEGATIVE
935,are the mile going to be restructured help a silver status brotha out i thought i wa winning with you guy until today lol,NEGATIVE
936,seriously this is just complete b,NEGATIVE
937,just landed in phl row window cover on nsw could use some love http tco wqzztiemx,NEGATIVE
938,i spent on my flight could have gone on for but their mileage program suck,NEGATIVE
939,she cut people off minute before flight time to check in bag for a flight that wa delayed hour i waited more hr,NEGATIVE
940,of course but interesting how united doe not seem to have a good sense on what is happening with flight,NEGATIVE
941,tried them not helpful really dissatisfied with flight booking problem my whole trip with jet blue this time around besides the flight,NEGATIVE
942,your agent did not say,NEGATIVE
943,we have now lost a whole day of our honeymoon very disappointed and frustrated with everything,NEGATIVE
944,i have been denied not sure how you charge one way then on way hime,NEGATIVE
945,i had to sit in your kitchen and move stuff around so i had what i needed i am extremely disappointed in your service,NEGATIVE
946,belt issue been a rough day for them worst part is traveling with month old and having to wait outside in degree,NEGATIVE
947,stuck here in iah waiting on flight to honolulu for hour due to maintenance issue could we have gotten a new plane fail,NEGATIVE
948,this ha been the worst flight experience i have ever had thank you for ending my vacation on such a bad note,NEGATIVE
949,your boarding process suck you should learn from,NEGATIVE
950,serious potential for a want to get away commercial out of this debacle but for real you should fire,NEGATIVE
951,of first seat open on ua no upgrade processed gate agent said their too busy not cool http tco kpyhckal,NEGATIVE
952,i would take the voucher you offered for miscounting the of seat on your plane but that mean i would have to fly you again,NEGATIVE
953,airline is the absolute worst they have no idea what they are doing neveragain unitedairlines,NEGATIVE
954,hello it is been four hour since plane landed flt phx to jfk hr on tarmac waiting gate plus an hour no bag yet,NEGATIVE
955,had wi fi broken on plane had same outage on on friday how can southwest get it right on every plane but united can not,NEGATIVE
956,umm unexpected unexpected meaning you guy did not know you had a major staff shortage,NEGATIVE
957,cancelled flight arrival amp departure in nashville a of pm that and more weather headline pm liveonfox februaryfreezefox,NEGATIVE
958,i wa on hold for over minute and wa talking to one of your employee i asked him for name or id and he hung up in my face,NEGATIVE
959,lost loyal customer and mileage plus card holder we could have driven to florida from pa quicker both way worst trip ever,NEGATIVE
960,so far no call back,NEGATIVE
961,a change fee of same exact flight from atl hou is why a charge of the math doe not add up,NEGATIVE
962,worst experience ever unable help over phone and told at last min cabin crew unavailable for flight never again usairways,NEGATIVE
963,how is it that i book a flight with a reserved seat and then go to check in and find out i have no seat wtf,NEGATIVE
964,yes it is in dulles and i need it delivered to the embassy suite in herndon va i am still in chicago from the fiasco in lax,NEGATIVE
965,from here on out when i can at all i am flying since when is a plane getting stuck in a drift for hour a weather issue,NEGATIVE
966,thanks but when i asked for a change with no cost for you the only desition wa nade by computer now is late flight,NEGATIVE
967,why have not you updated that flight is delayed super frustrating,NEGATIVE
968,how do you lose a gate checked bag den to ord direct flight ugh,NEGATIVE
969,saying my friend missed her flight when she clearly sat next to me on the plane amp now you are cancelled flighting her flight home wtf,NEGATIVE
970,new plane wifi not working entertainment non existent new seat seriously uncomfortable really unitedfail ua,NEGATIVE
971,yes myself and about other people also,NEGATIVE
972,cost me day of vacation and all i got wa a rude woman tell me to go to another country and figure out how to get,NEGATIVE
973,is rudeness and poor customer service a job requirement at been waiting hr and still have not even seen one plane,NEGATIVE
974,soooo are you guy going to leave the seatbelt light on all flight you can barely call this turbulence,NEGATIVE
975,flight been sitting gate for min w door open since we arrived still no jet bridge can someone help,NEGATIVE
976,still sitting here waiting for a plane hour wasted,NEGATIVE
977,is that the same reliable system could not find my info and then said it refund my credit card,NEGATIVE
978,due to gate agent i missed my connecting flight to mexico citynot a happy customer aa let you correct this,NEGATIVE
979,received horrible customer service at lax on reservation cancelled flighted without notification despite having confirmation number,NEGATIVE
980,flight to atlanta getting cancelled flightled and then had to re schedule on the phone for over hour with a rep this bumping you,NEGATIVE
981,thx for checking in never got through via phone on hold over hour how long is too long to wait on hold ugh csfail,NEGATIVE
982,well perhaps you could highlight where that is stated we travel between canada amp usa on united with only nexus,NEGATIVE
983,that is what i tried to do but when entering email into nd device made email typo no way to fix it amp no option to log out in,NEGATIVE
984,dispatcher keep yelling and hung up on me,NEGATIVE
985,friend at ofhare and can not get on flight bc they say no proof he bought st class tkt he ha boarding pas,NEGATIVE
986,well i am not sure what there is you can do the bad experience had already been had,NEGATIVE
987,btr trained gate agts i am a frequent flyer amp have nvr had issue w my bag day i wa forced gate check while priority boarding,NEGATIVE
988,flight booking problem all my late flight summer travel did the au cun direct flight disappear,NEGATIVE
989,i can not believe how long flight phi is taking i know it is you airway but you own it i would really like to get home,NEGATIVE
990,just boarded ua wa refused from carrying overhead bag a no space in plane now with load of space fail customerexperience,NEGATIVE
991,i am saying i made the flight but with poor non communication unaccounted for lost time amp lot of frustrated flyer standing around,NEGATIVE
992,tfw ty spent total of hr and min holding cell battery died finally made arrangement w kind rep,NEGATIVE
993,you pilot started the flight by announcing arrival into gatwick not heathrow moment of concern for all aboard,NEGATIVE
994,lost my cat missed their flight kept them crated hr for a would be hr trip you will never touch my pet again,NEGATIVE
995,you bum how do you lose the biggest bag on the flight,NEGATIVE
996,it is not just frustrating it wa paid for how do we get a refund,NEGATIVE
997,ha made my no fly list other airline wait when connector late flight stuck in iah,NEGATIVE
998,sure did go south after breakfast though delayed three hour,NEGATIVE
999,that is extra hour of travel time missed vacation time and now you guy are messing with my professional life,NEGATIVE
1000,i do not get this obviously you do care or you would have moved right along instead you decided to care and troll her,SARCASM
1001,trying to protest about talking about him and his label and they label themselves wtf doe that make them,SARCASM
1002,he make an insane about of money from the movie einstein learn how the system work,SARCASM
1003,meanwhile trump will not even release his sat score and his wharton professor said he wa the dumbest student they have ever taught,SARCASM
1004,pretty sure the anti lincoln crowd claimed that democracy wa on the ballot in 1860 too they thought lincoln wa authoritarian gop party of lincoln democrat,SARCASM
1005,per your tag line never judge a book by it cover,SARCASM
1006,he doe it excites him then he kill million,SARCASM
1007,oh look it is the racist offering solidarity to the gullible idiot for whining about racist,SARCASM
1008,a they are the biggest bully of all,SARCASM
1009,responds to fact by tossing out frantic insult then accuses others of being triggered by fact,SARCASM
1010,yes there is that but the only one who know how is sick,SARCASM
1011,much like trump sen cruz tragically born without an bone,SARCASM
1012,hey but what do they have to lose asking for some black friend,SARCASM
1013,i love how the stupid party frequently accuses liberal of being tards,SARCASM
1014,we have been laughing about that when his friend did not want gov job being a billionaire is way more fun than president,SARCASM
1015,fnma sweep accounting is antigaap divs in excess of stated rate accounted for a operating expense it accounted for a stolen,SARCASM
1016,i remember a few month back we were saying the american should not tell you how to vote on brexit,SARCASM
1017,last time i checked there s no y in science fiction,SARCASM
1018,i mean if i wa a muslim american i would feel perfectly safe under a trump presidency,SARCASM
1019,welp look at what wa taken at game 5 earlier in the series own it ohhh the burn,SARCASM
1020,now jang geo did not find anything new qayyum siddiqi reporting sc can not take up tht case technical ground etc,SARCASM
1021,nice to see our pm outright lying to the president,SARCASM
1022,hopefylly you qualify proceed then get collection of any fake glass you want but winning,SARCASM
1023,the craziest thing about his tweet is he is calling someone else out for being racist,SARCASM
1024,to answer your rather stupid question no i do not enjoy harassing woman at all,SARCASM
1025,sound good to me i mean that is the same standard they you when shooting black kid in america why so why not use if when assassinating foreign leader,SARCASM
1026,not enough dnt blame me blame electoral college libs going to cry that it is rigged table have turned,SARCASM
1027,please do read your own damn comment lmao,SARCASM
1028,your president spends most of the day bashing people,SARCASM
1029,but in the end there will finally be peace in the middle east s war to end all war,SARCASM
1030,ofc he is not the mayor of islam doesn t mean ignore his own do not see any status on eid ramadan muharram,SARCASM
1031,alert yeah but doe not count cuz great pr msm did not report right dnc leak,SARCASM
1032,naw i wa just an attendee invited because it wa fundraiser because i had money,SARCASM
1033,broken system can not do much about it suck that we pay tax for this can not even refuse because then we will go to jail,SARCASM
1034,thank goodness power wa back on after 16 hour could have been only in 2020,SARCASM
1035,hysterical that they used williams a a source 4 this story liar hillary lie,SARCASM
1036,yes like how all of my wedding activity have been ruined by asshole,SARCASM
1037,not everyone is born with a silver spoon yet you defend those brutalizing the protestors who have little,SARCASM
1038,yeah but that is the old testament we have to unhitch from that,SARCASM
1039,some in billy ray one and only hit,SARCASM
1040,must be cpfc a nigel farage support them,SARCASM
1041,her father is an immigrant from palestine successful ca real estate developer muslim,SARCASM
1042,gee give them a break they ve never had to defend australia before a you pol,SARCASM
1043,rob decries fascism then silence all those that dare disagree w him,SARCASM
1044,awesome everybody doe it that s the greatest reason to do something,SARCASM
1045,it tell you everything you need to know about them,SARCASM
1046,or you commenting on a story you seemingly have no interest in just say in,SARCASM
1047,have at it soyboy i m sure you your 3 follower are going to because some serious havoc,SARCASM
1048,georgie hating on woman again i see only got her job in news by wearing a short skirt and low cut top,SARCASM
1049,i am sure he will tell you when it time to sell,SARCASM
1050,wait i am confused did president trump shoot down the jet or did iran,SARCASM
1051,oh how scandalous you want people to feel comfortable how dare you,SARCASM
1052,but wait that doe not make sense to me i keep being told kelly throw his player under the bus,SARCASM
1053,right we should definitely be listening to you louise you just know thing,SARCASM
1054,haha and some cry about triple talaq like they care woman what an,SARCASM
1055,you know you can listen to them on like technology like spotify and you tube do not be bitter also i am 90 sure they did play chicago i mock with love,SARCASM
1056,wa being exploited quit now fight for ubi,SARCASM
1057,i wa invited by the ministry of tourism,SARCASM
1058,his job is teaching a course on ethic at william and mary no kidding,SARCASM
1059,no you do not they shur down exit ramp for hour simply trying to save time by speeding,SARCASM
1060,every dentist i have ever known ha had a major sweet tooth themself story dam,SARCASM
1061,man that is causing harm to people he is never met even in his own country,SARCASM
1062,no is not a no one felt we should have been there because of our schedule stepped up dug deep and eared the win over a tough opponent this post isn t intended to call osu a it s just being sarcastic all in clemson,SARCASM
1063,gold and not bit coin i m shocked beyond word,SARCASM
1064,extremely boring response but lovely to hear you are considerate about your customer,SARCASM
1065,sherwood forest in annapolis is a exclusive neighborhood,SARCASM
1066,of course not america is not oil greedy,SARCASM
1067,from fns child welfare to resource development the conservative response ha been see you in court cdn poli,SARCASM
1068,you know what they say any joke that need explanation wa not funny maybe you meant i will rise above having to explain the difference while referencing ku oooops my bad,SARCASM
1069,sen bertino tarrant we have to be careful what we wish for sometime ppl elect bad ppl some problem will not be resolved hb557,SARCASM
1070,law enforcement would need gun to take away gun,SARCASM
1071,i would put money on the fact that you bet correctly,SARCASM
1072,so much wrong with what you just said it is hard to find the start point of where to begin,SARCASM
1073,that wa rahul thought you would know it have not you been following me long enough to know i would not be voting cong like in the next janma too,SARCASM
1074,it is apparently ok to be compensated for being delayed but not being injured,SARCASM
1075,this is funny been in some gangster place in southlondon australia but scariest place i went to wa comptonssoho,SARCASM
1076,i just love how you get all of that insight out of a 22 second grab of video,SARCASM
1077,second on i m proud of my talent also,SARCASM
1078,andy can you read that tweet and then play lachs uva ul post game recording arrogant,SARCASM
1079,delayed a in the had to use to get to the station to drive a train southern fail,SARCASM
1080,awesome customer service told i would have a response in 72 hour and when that didn t happen wa asked to provide info and over 24 hour after that still have 0 acknowledgment,SARCASM
1081,yeah that doesn t fit their hate driven narrative and so busy provoking the inclusive loving non bigoted libs are such little busy body of contradiction preaching acceptance but only of those who think believe and behave a them narcissist,SARCASM
1082,we are constantly monitoring customer feedback and are look forward to bringing homekit to the market instead of working on this we are researching new product we think our customer may want thank you for your suggestion,SARCASM
1083,pti and ik are just contesting their case in which they accused pm without any proof,SARCASM
1084,or op all political party sail in same boat armymen sat at jantarmantar so it happnd this time,SARCASM
1085,sound like a nicely proven technology for bot detection,SARCASM
1086,you should show them the spoof judge one from today that will make them laugh and would be a great additional discussion,SARCASM
1087,this is a very well thought out articulate and intelligent take,SARCASM
1088,yet the left keep reminding american how fat everyone is,SARCASM
1089,no iq concern either if you don t know what they are you re either naive or dirty,SARCASM
1090,you are a high school drop out on welfare you are not qualified impugn anyones intelligence,SARCASM
1091,always love it when someone who can not spell there comment about ignorance,SARCASM
1092,so we trust the mafia history ha proven that to be true no different for the tech mafia the honest mafia don make for a heroic protagonist but never the winner in any mafia war or movie,SARCASM
1093,yeah let you sacrifice a boy future to make an example seriously a bit of empathy is no harm,SARCASM
1094,ask trump how great a guy trump is,SARCASM
1095,r these the same pollster that told you dt would not win hillary will win wi mi,SARCASM
1096,wow the atmosphere mean nothing to you there is no response doe not effect how we play quote no player ever,SARCASM
1097,my wife just posted a facebook text asking if he dropped off the wagon again hah,SARCASM
1098,people disagreeing with this are very hateful and aggressive in the language they use in the comment,SARCASM
1099,that is what comedy is for before that video i heard nothing msm omission is also deception,SARCASM
1100,you do realize you have a profile pic of a man that kiss other men on the lip right,SARCASM
1101,you are a bay area sport fan who want cal exit bc you hate ca fine by me,SARCASM
1102,since the internet socializing ourselves to be anti social through social medium,SARCASM
1103,right because most people take their kid with them to commit burglary so what if she is never seen him if there is ten people living there they have a hundred relation she is never seen before plus friend nobody owes her an explanation,SARCASM
1104,song tune incl i love china v people chanting anti establishment slogan,SARCASM
1105,say ppl who voted in a megalomaniacal reality tv star a lohan sucks,SARCASM
1106,a black man saying he wish for black genocide for christmas sound like a richard pryor joke,SARCASM
1107,hilarious to see journalism org decrying fake news story,SARCASM
1108,oh no i just told client there s a good chance of 90 return in stock over th next year no guarantee,SARCASM
1109,yeah blocking out everyone who disagrees with you that is the pinacle of emotional maturity,SARCASM
1110,high quality material do not allow you to price it lower of course it is not by corning we just like to use name of our strategic partner randomly,SARCASM
1111,the here is so pervasive i almost liked it wanting to supplant 1 asserted bias with a different 1 of your own choosing that s hilarious but failing to acknowledge that the bias of your choosing already exists well that s the irony,SARCASM
1112,true our policy maker never learn from past experience,SARCASM
1113,nothing say nothing better than denise can not even decide what she support politically lol smh projection,SARCASM
1114,all those black people being shot because they are poor who would have thought,SARCASM
1115,they have zero say they can slow it down but not stop any because they changed the rule in 2014,SARCASM
1116,the irony in this tweet lost on every trump supporter including the writer is priceless,SARCASM
1117,democrat demand we judge each immigrant on their character yet you judge all republican a evil,SARCASM
1118,but in my case the device failed to resist water when it wa taken in pool for the first time,SARCASM
1119,ohhhh noooo we can not make billionaire pay their fair share we have to keep subsidizing them,SARCASM
1120,take your hand off the wheel next time you re driving your car down the interstate and see how good of a pilot god is good luck,SARCASM
1121,you have won it all by bloody cheating come to mind,SARCASM
1122,that is exactly what i think too esp this 1 person who is known for being a big trend hopper,SARCASM
1123,these crook campaigned on trudeaus medium manufactured scandal rich karma,SARCASM
1124,imagine a trump sycophant talking about fidelity to anyone,SARCASM
1125,lol you call yourself freedom zone and you takl about getting rid of public medium,SARCASM
1126,thinking the same thing could not read about putting phone down without my phone,SARCASM
1127,this is what i say about donald trump everyday mind blown oops,SARCASM
1128,i would like to give you the benefit of the doubt but i do not set the rule a the boomtown rat sang you are guilty til proven guilty is not that the law guilty til proven guilty that is what we all saw,SARCASM
1129,it is actually a think piece about racial identity and how you have to look deeper,SARCASM
1130,he also cried during gamergate that game medium had ingroup and special access that tainted their journalism lol,SARCASM
1131,son it s a swear word that adult use to emphasize a point anyway you re 10 yr old wtf you doing on twitter anyway i m deleting your account now put the gd phone down and get outside and play,SARCASM
1132,1 i am not a white man i am native america paiute and 2 those guy dressed up a native,SARCASM
1133,she did win the popular vote did she not and trump won the electorate vote lol,SARCASM
1134,did not see that but read he wa bummed ab punch b c he should be safe at inaug,SARCASM
1135,he managed to keep prayer out of school along with the please of allegiance,SARCASM
1136,is not it a shame that hindu fanatic are spreading terror in iraq and syria just last week a certain hindu tried to kill few people on the london bridge jamal khasoggi wa murdered by a certain r worker osama bin laden wa a member of the bjp islamic fanatic,SARCASM
1137,it is interesting that the same white voter in florida ohio and pennsylvania that voted for obama also voted for trump,SARCASM
1138,insult city because they do not have a power saw then call city classless,SARCASM
1139,you re right a black president in the you is a preposterous idea,SARCASM
1140,the crazy follow and even threaten people in writing amazing sur ronde d by crazy,SARCASM
1141,spanish fort al even the few bagger that where working where aggravated with grocery manager bawaneh i throughly enjoyed helping bag my grocery and placing the grocery in the cart,SARCASM
1142,screw history who care if we make the same mistake a we did in the past,SARCASM
1143,many of these same folk are bullying third party candidate and their supporter right now,SARCASM
1144,yes under measure introduced by um amber rudd,SARCASM
1145,the very people who could do with a good education,SARCASM
1146,i wa going to ask the same thing by with an,SARCASM
1147,part of the reason for that is that being a domme is legal whereas being a prostitute is not most dommes don t want to mix the two for legal reason which is cool but they don t get that those strap on session count a prostitution so they are legally hooker too,SARCASM
1148,wait there is an election what election have not heard anything about an election lem me that,SARCASM
1149,i guess that is what they proudly call fighting like a girl,SARCASM
1150,i find it hilarious that you are boycotting something you were never going to watch,SARCASM
1151,if you read the story it came from ricketts if you phone the right people you get the answer you will be given in the new year oh dear indeed not fake news,SARCASM
1152,such shame that ppl like stand for pakistani actor but do not hv spine to stand for thr own hippocrates za ira wasim,SARCASM
1153,it wa just a bit of based on today news regarding rkg funding imho we should have greater aspiration,SARCASM
1154,boy oh boy you all are acting like sjws while accusing ben of acting like an sjw,SARCASM
1155,i would pas it on to my source at greggs but she would only have it taken off her again by uc,SARCASM
1156,i will be one of those people trying to get the closest parking spot to the entrance because i do not want to walk too far,SARCASM
1157,yeah good luck with that being constructive is all i advocate not smashing your face against a brick wall,SARCASM
1158,i find it comical that clemson is in the title game tonight and the only thing on your mind is me living rent free in your head,SARCASM
1159,you are going to insult someone cleverness with that sentence structure,SARCASM
1160,you seriously believe that thousand of ppl are concerned about this because of low iq consider your own,SARCASM
1161,oh yes ulip or even better term with return of premium,SARCASM
1162,want it so bad he also belief freddie should be traded and the rest of the team should be shot,SARCASM
1163,i have been following him religiously but given his predilection to chop and change his political opinion it hard to tell without attached,SARCASM
1164,too bad you are probably 1 out of a 100 people who have actually given a small dollar donation to her campaign maybe that will drop her average down from 2000 to 1990 per donor what grassroots progress,SARCASM
1165,the problem with this badge is that the phrase independence day refers to a you holiday where they gained independence from the british and their army now we re coining the phrase to segregate ourselves from the eu bloc where we have access to great economic benefit,SARCASM
1166,climate change sea level rise all the swamp will flood,SARCASM
