index,type,statement
294,negative,seriously flight delay cinci to philly due to new ground staff miss connection to man uk and now have to argue for hotel wtf
2553,neutral,i heard he has a virgin mobile hotspot wink_or_smirk
1525,neutral,question is will he and his lady behave
1215,negative,says the person who has not been delayed for hours and now sitting on a runway with a wailing baby wink_or_smirk
516,negative,can you provide direct assistance my colleague and i cannot re book b c the ticket was booked via a corporate account help
337,negative,phl why does it take an hour to offload bags especially after taking 30+ min to get a jetway to get off plane after landing
2498,neutral,is yr site having trouble for mobile check in 
1896,positive,thank you i wish the lady in little rock had told me that in the morning when i asked her
2039,neutral,dm sent as requested make sure you follow back so you can dm me back thanks
4689,positive,thank you so much
4595,positive,thanks for the great customer service family made it back to sat safely the weather at dfw made things a little worrisome
1256,neutral,i would go for 3rd time to jamaica to volunteer w  at risk youth flyitforward dc stpatricksfoundation rotary
3898,positive,an already pleasant flight from london to charlotte us733confusion was made fantastic by an amazing attendant thank you so much robert
2427,positive,flight 117 proud to fly jet blue
866,neutral,is it a temporary site glitch or are you no longer offering flights from grr to geg after feb can not find any online frown_sad_andry_or_pouting
2170,neutral, dropped a track on you httpsskeptical_annoyed_undecided_uneasy_or_hesitant tco zv2pt6trk9
2700,positive,i love you
885,negative,it is poop and barely works
4525,neutral,kp i am not traveling   we trying to cheer up ms bila
4185,positive,sent thanks vp
232,negative,said that aa does not provide in flight wifi on the routes to china based on some federal laws but united does why is that
5240,positive,shout out to the flight 4386 crew for taking amazing care of us on our double down flight thankyou
4055,neutral,expedia reserved a ticket for me and 2 more for a usaw flight but only issued 1 they are not responsivethoughts
847,negative,asked flight attendant what typical compensation would be &amp says we might get free tv unacceptable
2949,neutral,when did they start to sell water 
3509,neutral,no our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco ugfckermrw
313,negative,what is your phone number i can not find who to call about a flight reservation
1136,negative,i keep calling your help line 800confusion 428 4322 and it keeps saying they are too busy to help &amp to call back late flightr for a week now
3003,neutral,thanks so i will like to get the new tail n598jb n615jb boston red sox livery so i can share with talk but send them only on weekends
507,negative,you changed my aadvantage travel plans &amp i called 800 433 7300 to get help but it sea ur too busy &amp hangs up on me what gives
2096,neutral,a little vino would not hurt
3434,positive,where is my selfie
3635,neutral,thanks which day of the week is the direct the flights i saw went thru jfk
4105,neutral,flt 3260 out of mht have fun with my kids and grandkids 10 of them jack says hi httpskeptical_annoyed_undecided_uneasy_or_hesitant tco bhooiyt6zq
1297,negative,the highlight of being delayed freeconcert
823,negative,you ever wonder why you find yourselves responding to so many customer complaints on twitter it is because your airline sucks
1914,neutral,a true americanview the national mall httpskeptical_annoyed_undecided_uneasy_or_hesitant tco n7exdbcrhg
315,positive,its always a pleasure
2634,positive,thank you kindly
532,negative,if you miss first leg of ur flight you have to pay hundreds of s just to keep your second leg how much to keep my earned miles
1425,neutral,using jetblue miles
4470,neutral,&amp planes in grandcayman httpskeptical_annoyed_undecided_uneasy_or_hesitant tco gx7qbtckbr
493,negative, jason you will end up missing your connection please see our dfw agents for assistance nope has not taken off yet still
198,neutral,airline trouble this winter &amp not getting good customer service contact httpskeptical_annoyed_undecided_uneasy_or_hesitant tco aqjn4hwnac we negotiate resolutions for you
877,negative,really appreciate the great customer service one of your service agents just hung up on me when asking legitimate questions
900,negative,hello united you should take care of your call center in mexico city office terrible attitude from the lady who was helping me
416,negative,what is up with flight 5545 no gate agent or plane at phx b18 nice customer service
3620,neutral,what do you have in mind
3351,positive,well thankfully they have got a nice food court herewhen will an update be posted
1997,positive,thanks for responding will do
6061,positive,i would like to thank the customer service team for their response to my cancelled flightled flight but just offering to contconfusion
4085,positive,okay thank you for your help happy_face_or_smiley
3048,neutral,what is your pet policy
4487,positive,thank you for the service credit and to for positive thoughts
1053,neutral,can someone please explain the process of of what happens to property found on a plane after passengers leave at heathrow 
830,negative,here we go again 2 of 3 segments sfo  new york rt were delayed over 2 hrs each why do you suck so badmaybe another line of bus
1357,negative,really 9+hours we do not like delays and do all we can to avoid them we will have you on your way as soon as possible
1919,positive,first base already i like your style
2473,neutral,i have submitted my request i would appreciate a call by 9am eastern thank you
1229,positive,another perfect flight how come on your planes the sun visors can stay down other carriers make you raise them
2914,neutral,to begin dallas austin flights in april   889 ketr httpskeptical_annoyed_undecided_uneasy_or_hesitant tco ssuvwwkyhh
2836,positive,stewardess really funny now i could get the gent next to me to use some headphones this would be the perfect flight
5916,positive,thank you finally got our bag customer services reps were wonderful
1340,negative,please stop changing my flights for spring break this is the 5th time
2371,neutral,go go
105,positive,i left my comment with customer care thanks for contacting me
1279,negative,now i have to wait more than 60 minutes
4240,positive,thanks for your assistanceyou guys rock
1474,neutral,am 2 1 2 hours from airport sure would like to talk to someone
103,neutral,to start 3xdaily erj145 flights from chicago to evansville on 4jun avgeek
3474,neutral,i know you are getting pummeled tonight we were one of the lucky out of just one more
986,neutral,airlines ceo jeff smisek disloyal to loyal workers httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 0cevy3p42b via
864,negative,customer service 16hr delay coupon can only be redeemed on website which has 200 higher prices than expedia call wait time 55mins
533,negative,on a standby to denver which has been delayed and a confirmed to aspen whose flights have been cancelled flighted all day 0 confidence
5013,positive,thx just dmd conf s mqxc64 &amp mpwnc2 any help appreciated
274,negative,have better customer service at john wayne airport
865,positive,thanks keep up the good work
4056,neutral,it was at jfk airport right now
133,negative,i am stuck in fort lauderdale
1838,neutral,would love to combine aa and usair accts unfortunately one has my middle name &amp one has middle initial will not allow change
2524,neutral,try harder take a winners attitude to your work
1295,negative,serious firing needs to happen at hnl they broke the wheelchair you loaned me after you broke mine httpskeptical_annoyed_undecided_uneasy_or_hesitant tco bt37kyrbyj
1057,negative,i jetblue but i was on flt 277 from fll to sfo tke off was over 1 hr late flight div to phx &amp got in 2 hrs late flight what will be done
1438,neutral,beats eps views takes on southwestair va love   investors business daily httpskeptical_annoyed_undecided_uneasy_or_hesitant tco flwmgdahxu
1401,negative,6 hours no agent should i keep waiting
1618,neutral,unveils 4 new flights including 2 from ohio httpskeptical_annoyed_undecided_uneasy_or_hesitant tco grkbj7bxlk
1358,negative,offered to pay for tix at the airport bc we were never told that our reservation did not go through was told i could pay 2275 pp
1562,negative,funny you should say that i have been monitoring since january 1st no change in availability fakeawards luvisbetter
5183,positive,flight from jfk sfo was pure awesomeness mint class and tim our attendant was the best other airlines take notes
3708,neutral,landing early morning after snowfall httpskeptical_annoyed_undecided_uneasy_or_hesitant tco aprzspxige
1439,negative,and on some versions of the 738 row 11 has no window at all go ahead check we will wait
5624,positive,thank you for the quick response i am trying to request abassinet for my son it would be great if you can help me with my request
1381,negative,why do you hate your passengers
4099,neutral,his name is enzo rt  well hello there pooch what is your name dog httpskeptical_annoyed_undecided_uneasy_or_hesitant tco dlh9138hbg
784,neutral,two years old birthdate 11 13 2012
2905,neutral,come scoop
3844,neutral,hey southwest help me find a flight from nashville   washington dc or raleigh for under 150 on march 15 please
4350,positive,was not on board you today just watched report unfold on twitter but still am very proud
203,negative,&lt&lt&lt&lt&lt        shoddy customer service of no use whatsoever unitedairline
5604,positive,i can not wait to hear back from you regarding the internship opportunity
262,negative, unfortunately that is not an available option with our current system sorry guys that is a certain fail fix it plz
2623,neutral,can i access frankfurt arrival lounge when i am flying global first class
80,negative,f623 dentongue_sticking_out_cheeky_playful_or_blowing_a_raspberryhx impressive lack of concern by 1hr+ late flight flight attndt wrecking havoc on customer travel smugsmirk norush
3998,neutral,if you have got room on an earlier flight home why charge me 75 to get on it be the hero
5504,positive,flyfi thank you seattle and udub here we come httpskeptical_annoyed_undecided_uneasy_or_hesitant tco kbhym5gkap
757,negative,is that the same reliable system could not find my info and then said it refund my credit card 
2450,neutral,i notice that there are separate buttons for guitar and actual music in this pic some bands should take note of this
1265,negative,would you consider honoring the original fare price if i were to try flight booking problems the ticket again
4791,positive,omg finally
4581,positive,this is great news america could start flights to hawaii by end of year httpskeptical_annoyed_undecided_uneasy_or_hesitant tco r8p2zy3fe4 via
1448,negative,trying to talk 2 customer service to add lap child and can not get a hold of anybody i need help
1232,positive,thank you
1504,positive,claudia in iah terminal b travel assistance has me all set great service thank you
3740,positive,no worries you are doing the best you can already cancelled flighted my biz trip still love you  rr 1079871763
755,negative,flight 4210 been sitting gate 27 for 10 min w door open since we arrived still no jet bridge can someone help
4370,neutral,should be seeing this sunset from st john usvi not philly httpskeptical_annoyed_undecided_uneasy_or_hesitant tco dndoepqukz
838,neutral,i am not tho
1587,neutral,finally finally
1454,negative,i tried 2 dm it would not go thru not sure why
3268,positive,will do thanks for the help cheers
35,negative,but the 4 hour policy  when i called and they said i did not report it soon enough what would have changed if i had noticed sooner
5694,positive,job well done from your philly employee running checkin today tabithaconfusion helped us in an emergency &amp vacation saved
5039,positive,thanks for the reply but a functioning plane four hours ago was the only way to do that the staff was friendly tho
620,negative,did i mention that i was on the plane so is my luggage my luggage that i am not going to have for how many days
363,negative,charlotte staff needs prayerdisappointed in response to mishaps lotttttttt of pissed off people here
2893,positive,twitter team you guys killed it for rescheduling me as soon as possible thank you
1199,negative,what is with all the cancelled flightlations to pbi we have pax at dca that have been sent to 4 different lines between aal and awe help
3354,neutral,&amp what are your weight restrictions for carry on luggage can find measurements but not weight restrictions tia
5309,positive,i &lt3 pretty graphics so much better than minimal iconography laughing_big_grin_or_laugh_with_glasses
2471,neutral,yes david allan send an email with this number kmm24999563v99860l0kmconfusion and case8719519
1606,neutral,call gate d9 in clt and get me on this flight
4025,neutral,do not talk about my friend like that thefutureisweird
4639,positive,rocks open letter to flight attendant httpskeptical_annoyed_undecided_uneasy_or_hesitant tco zfroinpszi &lt my child was inspired thank you
3815,neutral,how can we get help with a hotel we booked with you and are having issues with
4300,positive,amazing service by your sw stewardesses from den to cun and from cun to atl and atl to lax thank you
1710,neutral,hello good afternoon how are you i need know how much flying for summer from june 13th
4972,positive,just realized i had the wrong departure date thanks for making changes easy
1304,negative,get ur act together start treating ur passengers w  kinder have more sanitized planes take a page from perhaps
2964,neutral,need to change flight from this tuesday to sooner to attend to ailing parent in fl need help custserv
2448,neutral,any concern about cancelled flightled flights due to the cold weather in nj saturday am do you cancelled flight at 0 degrees
804,negative,one of you has my bag claim 4016688561 and i want it in mga now
935,negative,you guys are screwing up my trip thanks for nothing lazy
89,neutral,no did not catch his name i am sure jason will know
2223,neutral,when southwest did this to us    a mechanical problem at least they gave us round trip vouchers will you step up to the plate flight too
2322,positive,i do the best airline wifi ever thank you
2402,neutral,unfortunately still on the tarmac at and definitely missing my ride from gonnabealongnight
4278,neutral,do you have childrens rates for flights
1145,neutral,traveling with 3 young kids chose our original flights for a reason
874,positive,thank you happy_face_or_smiley
976,negative,2298 everyone else was outstanding
3516,positive,great thank you
1528,neutral,boston gate c12
282,negative,i understand that but i am not even being put on hold   it says try again late flightr goodbye
1590,negative,they say they have no update i do not work i do not get paid jet blue has my money but no flight argh
263,negative,do not need your apologies need my bag took 56 minutes from landing to get it unacceptable
859,positive,thank you i know yall can not control the weather i appreciate yall working to get my flight rebooked the last two days
4106,positive,great blackhistorymonth commercial thx atl singer musician life blacklivesmatter
321,neutral,unfortunately no but hoping i can catch one sometime in the near future
1407,negative,care to elaborate on why cha to dca is cancelled flightled this evening
4322,neutral,even on international flight glasgow to the us then what about orlando to newark all 90 mins
534,neutral,actually flight 1089 not 1098
281,positive,just did thanks for checking happy_face_or_smiley
1470,negative,flight was cancelled flighted do i need to file a claim for the 50 credit i am entitled to per yr bill of rights or will it just be issued
1326,neutral,when will the system be up and running
870,negative,worst experience of all time will never ever ever travel with you again ever
110,negative,dropping the ball again no catering plane switch no gate attendant 2 hours late flight really nice
1785,positive,holy fuckinf shit
5540,positive,yes just a few minutes after my tweet she was able to reschedule her flight thanks
5906,positive,everythings good now brothaaaaaa
160,neutral,tried that cannot figure out where to go to get it
374,negative,service rep did not say i was dumb just had the tone of voice like i should have known about it
1095,negative,i understand why ur doing it but for someone who just traveled 2+ hours to get here early relax b4 flight etc adv notice maybe
180,neutral,no worries you are swamped i know just dmd back thank you
1620,negative,768 sfo to bos and no internet it is 2015 what gives
5975,positive,90 dollar rt ticket to chicago yes please
2215,neutral,check the head of the plane there has been dynamite placed onto it
5291,positive,thanks see you soon
3091,neutral,you know what rt  our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco wjyas2d94n
2434,neutral,are you my friend
2442,neutral,indeed it was not
5766,positive,so glad you guys do business w  more class than ur competitors
1267,negative,us 728 then lost ground power three different times not only grounded endlessly now without air lights entertainment
3599,neutral,can you follow me so i can send you the info
641,negative,its ridic you can not transfer credit you have my 400 &amp you are taking 200 of it for cancelled flightling atleast let me keep the credit damn
1361,neutral,can i book using some sort of breavement program i need to get home for my pops funeral
1724,positive,i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience
3282,neutral,flying gla mco in a few weeks how long do we have to be at airport for before departure for both international and domestic ta
453,negative,there is a fat man stuck in your airplanes bathroom
104,negative,flight 1136 from chicago to houston over 2 hours and no pretzels or peanuts seriously about passed out
903,negative,she hasshe has not heard from anyone in over a week a nonstop flight and her baggage was lost stolen customer service
4241,neutral,do you still offer discounts on seats for children under 2 we would rather put him in a seat than in a lap
2686,neutral,any official word whether flight 3403 from bwi to manchester is cancelled flightled i have got an 8hr drive in snow if it is
6,negative,that is a stock response delays not as frustrating as poor cust serv &amp being told by 3 ppl to wait &amp they would come back but did not
164,positive, thanks i will catch my conection happy_face_or_smiley
186,neutral,connection is us2065
3071,neutral,if i was rebooked do i have to pick up my luggage
177,neutral,dream httpskeptical_annoyed_undecided_uneasy_or_hesitant tco oa2drfaoq2 httpskeptical_annoyed_undecided_uneasy_or_hesitant tco lwwdac2khx
4071,positive,beyond ready
468,negative,been on hold over 90 minutes you can fly but not answer the phone
326,positive,just received it actually thank you
469,negative,aa 2258 why have you cancelled flightled our flight without courtesy of notifying us or alternatives very poor
20,negative,new problemhad wrong last name on reservation which is airways fixed new can not get through tsa
1623,positive,thanks for sending my kid to the destinationdragons concert vegas so awesome httpskeptical_annoyed_undecided_uneasy_or_hesitant tco g9b6e0a2sz
698,negative,of course but interesting how united does not seem to have a good sense on what is happening with flight
1585,negative,really you gave 6 scotch on the rocks to an out of control drunk and would not let my sister change seats when he was grouping her
3980,neutral,is there a phone number or email address to customer service
4435,neutral,do you have any flights with lie flat seating from stl to pgreat_dismay on or around the date of march 5
561,neutral,how long before departure do gates stay open will i make my connecting flight 1861 to rdu from flight 894
660,neutral,just sent you a dm w  additonal info
3772,positive,followed and messaged thanks so much for the help
1698,neutral,are you guys going to be giving away any tickets for at  destinationdragons
353,negative,100 i will put together a very serious email with all the issues that arose on our vacation due to your staff i will post it here
3984,neutral,s ceo kelly draws record crowd to business partnership breakfast httpskeptical_annoyed_undecided_uneasy_or_hesitant tco hrvuktpvn1 httpskeptical_annoyed_undecided_uneasy_or_hesitant tco my3dnvbzaz
989,neutral,618 was flight out of houston
713,negative,your boarding process sucks you should learn from
1305,negative,thx for responding i can not watch 2 mins of this film w out it cutting in and out 4 prolonged prds of time beyond frustrating
30,negative,understand the weather but would be nice to hear an apology on the phone when you moved my flight to an inconvenient day
4956,positive,thank you for taking care of me with a drink since my in flight entertainment was not working goodcustomerservice
446,negative, 1st a reaccommodation now a delayed flight for this one &amp the gate agent still has not mumbled a word folks getting anxious
1254,negative,help invest more in your planes and your people and less in stock buybacks and executive pay maybe then you would not disappoint
1397,negative,i want to speak with someone immediately i am shaking with rage i offered to hate check my bag and derrick bussey treated me
298,positive,you guys continue to impress your crew mco gate 4helped our family with seat issues professional
1220,negative,she waved someone behind me to step forward although i explained what happened and indicated my need to make my flight
1492,positive,great thanks
1978,positive,that would be great   1k us651621
1634,positive,v nice of you to give me a breakfast voucher for 7 in an airport that almost got me a whole drink
5987,positive,thanks guys you got it i am heading to milan on wednesday so big week with the aa family happy_face_or_smiley
556,negative,2nd time in a row a flight out of jfk a disaster last time i was not allowed to fly stndby now a 2 hour delay w out notification
623,positive,thank you so much for access to destinationdragons tonight at crying  dying rn ripme
871,negative,just went to check into flight 24 hr advance again husband and i are seated separately for 6hr flight why does this happen
1147,negative,what kind of hypocrisy is that only cancelled flightling tickets with bad exchange rate if in your advantage united
632,negative,to recap you bounced me off my flight lied to me then hung up on me what am i supposed to think do now
636,neutral,fail set to song httpskeptical_annoyed_undecided_uneasy_or_hesitant tco axpn28xiqb united breaks guitars &lt lmao
1169,negative,to realize your customer service leaves much to be desired and the folks handling the calls could care lessand it shows
1196,positive,vegas san francisco baltimore san diego and philadelphia so far i am a very frequent business traveler
2382,neutral,flight 2008
1245,positive,ok thank you very helpful this is why you are my favorite airline
1445,neutral,need to get my 3 yr old to nassau from seaconfusion to meet her great granny she was named after   who just turned 103 flyingitforward
323,negative,trip cut 7 hrs short due to flight change massive layovers  no peanuts or crackers  asked for h2o and received about 2oz
945,positive,got mine just in time for the wife and my 15th anniversary
611,negative,how have you not loaded our luggage on the plane and were over an hour delayed flight293
1213,negative,i thank you for the reply but too complicated to dm really would like to talk to a cust rep what is going on there
985,negative,oh united how much i despise thee
960,positive,your response has been incredible truly amazed at the steps you have taken to enhance your customer relations big thank you
3409,neutral,hello i got off a flight a few months ago and constantly think about your peanuts is there anyway you could send me some
1080,neutral,any chance they will change this to include northeast airports jetblue has
579,negative,could not have possibly messed up our trip anymore than they did thanks for being such a terrible airline disappointed
1273,negative,albanyairport delayed departure to check bags at gate claiming space filled and walk on to open spaces a delay poorcustomerservice
4215,neutral,do you have any afternoon flights going from bqn to jfk i only seem to find early morning flights
135,positive,keep the flights cheap and early on time and you are good flew and cancelled flightled my flight 4 times last month united&gt
5299,positive,a wonderfully nice agent in austin helped us out wish i remembered her name to give proper kudos
2190,neutral,atlantic ploughs a lone furrow in the middleeast httpskeptical_annoyed_undecided_uneasy_or_hesitant tco fvudmh27pf
1614,negative,no the entire problem here is that i was never sent anything via email and only given a flight booking problems number over the phone
1586,negative,i understand but everyone said different things and there was a flight out late flightr that night but only one of us got to take it
3572,positive,thanks they did not charge anything in the end so all is good
420,negative,can not leave the tarmac uniteds gate agent cannot agree on a head count 20 min now counting a 100 people max epicfailunited
2268,neutral,please do not rt  our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco gdzadxzbya
146,positive,thank you for your empathy there is more to this story than just the luggage but thank you for reaching out
5427,positive,on a good note the 2 employees i encountered newark were fabulous i was very late flight for my connecting flight and they got me on
3821,neutral,an oscar worthy entrance into la httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 10tmthvfdc
303,positive,i continue to be amazed by the amazing customer service thank you swa
642,negative,just picked up my bag at seatac all the clothes are soaking wet bagawim httpskeptical_annoyed_undecided_uneasy_or_hesitant tco ngxal9oml6
625,positive,thanks for helping my mom after would not let her get on her plane in orlando you are the best customerservice
1437,negative,it is more than technical problems frustrated answerthephone res on hold and can not get thru to use a credit to pay for it
3977,neutral,fliers to gain access to wsj content   httpskeptical_annoyed_undecided_uneasy_or_hesitant tco gouzrdt7zf
3243,neutral,that is pretty nice are flight credits automatically given after the flight i also wish there were a lounge i could sleep in
261,negative,you told me you changed my flight and i am in the ottawa airport and ac can not find my reservation what is wrong with you
3479,positive,customer centricity is knowing people anamarketers
5282,positive,has the best customer service
1405,positive,thanks for listening i definitely was not the only person in line who thought it was absurd
1863,positive,loving the boarding to go to chicago keepitmovin
526,negative,i am willing to hold for an agent you are not being helpful you keep hanging up on me americanairsucks hiremorepoeple
2584,positive,flight 1700 phx to laxconfusion wheels stop glad to be home thanks to the professionals both up front and in the cabin
4837,positive,thanks you guys are the best
21,neutral,any possible chance of swa bringing back service between lga bwi it would make it much easier to connect to the west coast
5096,positive,the new logo is going to look amazing on the airplanes
1467,negative,your onboard wifi is so bad it is taking me 20 minutes to send this tweet working is off the table disappointed
1716,neutral,call me when you do and well have to hook up
3097,positive,sorry to hear outsourcing plan boise is best staff cust service in the country boise
1227,negative,what does delayed due to customer service mean for ua761
2599,neutral,i wannaa go to the vegas show so bad id doo anything destinationdragons
3274,neutral,s ceo battles to appease passengers and wall street   waterbury republican american httpskeptical_annoyed_undecided_uneasy_or_hesitant tco of7pfvqpoy
852,positive,nvm gate said they are holding connections thanks for quick response
28,positive,jason 108639confusion at gate 3 in san made my afternoon southwestairlines stellarservice thanks
2485,positive,not worried it is been a great ride in a new plane with great crew all airlines should be like this
664,negative,jfk nyc staff is amazing the lax jetblue sending an email with details but it was a disappointing experience
702,negative,i have been denied not sure how you charge 150 one way then 25 on way hime
3121,neutral,thanks got it straightend out last night
1158,negative,already did it one person said they could not do anything another said she did not know why the first person we talked 2 said that
2037,neutral,booked aa3370 departing jfk 2 25 15 it was booked via ba and i want to change my ff to aa can you do that for me via twitter
5571,positive,ooh thanks
4076,neutral,can you priv chat to help chairman reroute
1086,neutral,anything you can do
3446,neutral,come on and provide service from destin  fort walton beach airport
1874,positive,thanks for replying i feel a little better we will see how it goes
1500,neutral,will you please start offering more routes out of to more locations instead of just charlotte and atlanta
2714,neutral,it was 3472
4010,neutral,to increase charter service to cuba   travel agent httpskeptical_annoyed_undecided_uneasy_or_hesitant tco lyqrb4hcyu
4218,neutral,yes it was sunday
2776,neutral,yes thanks i found those did not see the gray tab at first happy_face_or_smiley
1741,neutral,has flight number 276 from sfo to cabo san lucas arrived yet
6051,positive,thank you both very much
435,neutral, our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco g97habyep5 smh
1389,neutral,how do you have only 1 flight into lexington this afternoon with the 1 playing a big game tonight dobetter
2003,neutral,s new ceo seeks the right balance to please passengers and wall   times colonist httpskeptical_annoyed_undecided_uneasy_or_hesitant tco nzgreat_dismayrvszwv
1404,neutral,my dm will not go through but it is 261633561838 please let me know if you need anything else
31,positive,and thanks
681,negative,my son left his ipad on flight 1401 from jfk to fll on monday i called and left message and have no heard back seat 25a
1466,negative,i am still trying to get things worked out and you have yet to respond back
813,positive,jackpot legroom httpskeptical_annoyed_undecided_uneasy_or_hesitant tco zo2iceg4li
1231,negative,on flight  556 delayedconnection help for flight  561  help via email
954,negative,rebooked 24 hours after original flight to say your handling of situation was bad would be an understatement
5333,positive,i am glad retweeted otherwise you would have to ignore the numerous tweets i sent you all are fucking amazing
614,negative,wow flight cancelled flightled slept on the floor at the airport and now flight delayed
4211,neutral,need to add service dog to my itinerary for tomorrow
647,negative,lol thanks to you we had to switch to american httpskeptical_annoyed_undecided_uneasy_or_hesitant tco sl6bdrxfn8
817,neutral,i live abroad and am flight booking problems flights for when i come visit the states frown_sad_andry_or_pouting
2726,positive,we hope to see you on board soon and thanks for the tweet ^ey
1551,positive,i will check it out when i get to the airport thanks
2085,positive,thanks
176,negative,flight ua1665 got delayed 2 hours due to a mechanical issuecould use a free drink or 3 to make up for this inconvenience
4658,positive,statement was not sent yesterday like jeanine said after i even called last night as well again excellent service
3175,neutral,is flight 0769 out of lga to dfw on time
684,negative,flight cancelled flightled can not go home until tomorrow i could use dinner and a play  it is my first time in nyc
3734,neutral, our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco pulp4i0w96 smh
2451,neutral,i think me and my group could use some nice cold drinks once we get in the airwe are all over 21
436,positive,you guys held our flight 330 thank you about to take off from mdw now to oakland thanks
5416,positive,your clt baggage crew deserves a kudos i had to run to make my connection and my bags still made it customerservice
4760,positive,big kudos to your staff today at dallas love field for lifting everyone is spirits today with all the delays and cancelled flightlations
894,neutral,i took a screenshot and emailed it to myself let us dm and figure this out
4797,positive,my fav
2576,positive,just sent another 4 drink couponsi think i have over 30 coupons now free drinks anyone
2273,neutral,we done it with 1 truck no biggie
3078,positive,so is that two seats avail so far for us
1422,negative,how about starting without the robotic response
4371,neutral,you guys need pillows on these rockers to really knock it out of the park just sayin
943,positive,aa2416 on time and awesome flight great job american
2505,neutral,will i get the full amount credited to my account for us airways credit
1037,neutral,how about some sweet promo code to help me visit my family please lol
1277,negative,attempting ckin for flight on 2 19 all day site unable to retrieve details called twice and disconnected
4152,positive,doing a good thing holding flight for a few for 11 peeps on late flight connecting flight we will still make destination on time
4636,positive,fyi your customer service rep carol is an absolute delight so pleasant to with with and rebooked me in lightning speed thanks
5705,positive, you are forgiven most loved customerit is as if you never left happy_face_or_smiley ^ll that is why you are bae
2049,positive,after my second call to customer service and the fifth person i talked to an amazing rep fixed it in about 5 mins happy_face_or_smiley persistence
753,neutral,thank you but it says the website is down
1120,neutral,i might look into that my wife travels much more than i do could we both use the membership
2996,positive,thanks line moved quick already done
1082,negative,we are trying to fly back from orlando to bwi the website has crashed and no one answered the phone help
3385,neutral,window exits give it away
671,negative,what happened we did not get a notification about a departure cancelled flightation tomorrow why will it take 2 hrs to talk to someone
1935,neutral,flight 0736 dal to dca 2 24 210pm tried to check in could not status please
3316,positive,hubby made it by the skin of his teeth happy_face_or_smiley
3905,positive,happy to enter your sweepstakes again nutsaboutsouthwest
1137,negative,will not help us on the phone at the gate or in checkin i book travel for clients and cannot believe the lack of service
735,negative,how is it that i book a flight with a reserved seat and then go to check in and find out i have no seat wtf
1331,positive,will do appreciate the replies though
1015,negative,4 open kiosks for priority with no line and only 4 open for main check in for ~80 100 ppl
440,negative,have you considered adding the we will call you back when we have someone free feature to your support line
1393,negative,why do you charge so much moving from a full flight to an earlier flight with seats available does not make sense to me
2066,positive,can anyone help me upgrade to buisness select  can not seem to get hail of the right area at all i know you guys are good
3417,positive,thanks keep me updated just hope i make either of my connections to killeen tx
967,negative,aa   this is a joke right that line is not even accepting calls right now   they just hang up
3872,positive,thanks already subscribe and have a rr account had received a promo code last month but has since expired any new offers
3291,positive,still thinking those pjs may have me sold we would love to have you on board with us here i come
886,negative,still no rep can talk 3 days late flightr you r asking me to checkin to my flight tmrw and my refund is being requested deal w this
4466,neutral,would love to win tickets and take my son to imagine dragons in provo saturday night crossed fingers destinationdragons
3806,positive,was there few weeks ago awesomebright vibrant and no habitrails
4369,neutral,well you spelled my name wrong
130,negative,quick seriousconfusion question   any resources ratings showing the quality of service is better than 8th place httpskeptical_annoyed_undecided_uneasy_or_hesitant tco dewithpew2
924,negative,so i would have to go though the entire process again just to get you people on the phone usairwayssucks
589,negative,sent a couple messages to the email you provided but to no avail will try again next year cheers
4771,positive,nawww united is my fave airline
2053,neutral,just looking to arrange for a nice flight from sea to la ish and comparing the cost to something more direct from yvr
1672,neutral,unitedairlines any other way ord to abq anytime within the next 7 hours
2459,neutral,thanks was just about to book a flight to uk using  but after reading this exchange there is no way i have sent
1468,positive,friendly engaging personable handled clarifying questions about baggage fees well and took an interest in what i was doing
1007,negative,i would really like to get off of this plane now
674,negative,stay more than 24h traveling ans sleeping on the airports floor
5832,positive,gave me a smile today with a zero award  confusion computers have some sense of humour happy_face_smiley httpskeptical_annoyed_undecided_uneasy_or_hesitant tco jnqnbk7hut
115,positive,great looking forward to your response to my dm then
1347,negative,if it was simply a minor mechanical why would they say that
1115,neutral,see photo of 787 model &amp our pn 320008a wheel deflator specified in chapter 32 of b787 amm httpskeptical_annoyed_undecided_uneasy_or_hesitant tco oilncfweyg
832,negative,finally made it to chicago   13 hours late flight did get a 12 food voucher for my waitabout 1per hr never again good bye
205,neutral,i dmd you
1325,negative,why was my flight from miami to dallas monday rescheduled to tuesday
1519,neutral,not waiving change fees with the snow storm coming tomorrow iad is under winter storm warning tomorrow already what is up
2142,positive,thank you
1119,positive,thanks great service in t5 already lovejetblue
3819,neutral,i would like to spread my grandpas ashes in naples italy he lived in the 50s while serving his 30+ yrs in the flyitforward
3793,positive,the upgrade to first class was a nice way to fix your earlier mistake thank you
1471,neutral,wall separating in row 1 safetyconcerns httpskeptical_annoyed_undecided_uneasy_or_hesitant tco ztrdwv0n4l
3143,positive,kept me watching the safety video for the first time in forever nice job
